City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Hambantota,LK,2022-10-19 19:27:21,6.1241,81.1185,79.29,81,100,15.23
1,Victoria,HK,2022-10-19 19:27:35,22.2855,114.1577,75.25,68,100,8.01
2,Hobart,AU,2022-10-19 19:31:36,-42.8794,147.3294,46.27,88,20,5.75
3,Souillac,MU,2022-10-19 19:31:37,-20.5167,57.5167,70.18,73,20,5.75
4,Rikitea,PF,2022-10-19 19:31:37,-23.1203,-134.9692,69.46,75,100,17.92
5,Raudeberg,NO,2022-10-19 19:31:37,61.9875,5.1352,41.95,66,100,3.04
6,Aasiaat,GL,2022-10-19 19:31:38,68.7098,-52.8699,27.5,75,32,23.33
7,Albany,US,2022-10-19 19:30:02,42.6001,-73.9662,50.63,52,96,3.0
8,Cape Town,ZA,2022-10-19 19:31:38,-33.9258,18.4232,66.61,80,75,8.05
9,Spearfish,US,2022-10-19 19:31:39,44.4908,-103.8594,71.89,25,0,14.97
10,Atuona,PF,2022-10-19 19:31:39,-9.8,-139.0333,77.04,66,2,15.03
11,Ushuaia,AR,2022-10-19 19:31:39,-54.8,-68.3,53.26,37,40,19.57
12,Deutschlandsberg,AT,2022-10-19 19:31:40,46.8153,15.2222,57.9,91,83,2.44
13,Whitefish,US,2022-10-19 19:31:40,48.4111,-114.3376,53.35,47,0,0.0
14,Port Elizabeth,ZA,2022-10-19 19:29:40,-33.918,25.5701,79.11,88,20,2.3
15,Bluff,NZ,2022-10-19 19:31:41,-46.6,168.3333,47.71,70,88,21.36
16,Hilo,US,2022-10-19 19:31:41,19.7297,-155.09,84.27,64,75,1.99
17,Saskylakh,RU,2022-10-19 19:31:41,71.9167,114.0833,1.42,95,90,5.61
18,Coihaique,CL,2022-10-19 19:31:42,-45.5752,-72.0662,59.61,67,75,8.05
19,Djambala,CG,2022-10-19 19:31:42,-2.5447,14.7533,69.04,92,94,3.36
20,Tuktoyaktuk,CA,2022-10-19 19:31:42,69.4541,-133.0374,24.8,100,100,2.3
21,Vao,NC,2022-10-19 19:31:43,-22.6667,167.4833,70.36,69,39,15.61
22,Singaraja,ID,2022-10-19 19:31:09,-8.112,115.0882,79.21,83,100,2.98
23,Luderitz,NA,2022-10-19 19:31:43,-26.6481,15.1594,60.49,90,15,14.14
24,Quatre Cocos,MU,2022-10-19 19:31:44,-20.2078,57.7625,70.09,73,55,13.29
25,Ipixuna,BR,2022-10-19 19:31:44,-1.7625,-48.8043,84.09,71,100,7.27
26,Huarmey,PE,2022-10-19 19:31:44,-10.0681,-78.1522,67.14,72,96,12.95
27,Usinsk,RU,2022-10-19 19:31:45,65.9939,57.5281,32.77,89,100,16.24
28,Port-Gentil,GA,2022-10-19 19:31:45,-0.7193,8.7815,78.76,94,100,12.66
29,Nelson Bay,AU,2022-10-19 19:31:46,-32.7167,152.15,66.0,97,100,11.01
30,Kaitangata,NZ,2022-10-19 19:31:46,-46.2817,169.8464,46.27,66,100,5.97
31,Husavik,IS,2022-10-19 19:30:58,66.0449,-17.3389,34.56,77,100,10.69
32,Puerto Ayora,EC,2022-10-19 19:31:47,-0.7393,-90.3518,75.16,87,99,8.01
33,Ostrovnoy,RU,2022-10-19 19:31:47,68.0531,39.5131,38.55,84,90,34.96
34,Nikolskoye,RU,2022-10-19 19:31:48,59.7035,30.7861,37.29,86,92,4.59
35,Chuy,UY,2022-10-19 19:31:48,-33.6971,-53.4616,65.17,81,8,11.61
36,Torbay,CA,2022-10-19 19:31:48,47.6666,-52.7314,59.29,93,75,8.05
37,Walvis Bay,NA,2022-10-19 19:31:49,-22.9575,14.5053,61.09,88,32,6.91
38,Batemans Bay,AU,2022-10-19 19:31:49,-35.7167,150.1833,60.1,87,100,2.53
39,Luau,AO,2022-10-19 19:31:50,-10.7073,22.2247,72.99,54,92,4.21
40,Ust-Kuyga,RU,2022-10-19 19:31:50,70.0167,135.6,-5.93,99,44,6.76
41,Sao Joao Da Barra,BR,2022-10-19 19:27:43,-21.6403,-41.0511,78.89,79,73,23.09
42,Tiksi,RU,2022-10-19 19:32:51,71.6872,128.8694,15.1,89,99,9.28
43,Ilulissat,GL,2022-10-19 19:32:51,69.2167,-51.1,28.42,69,75,17.27
44,Yining,CN,2022-10-19 19:32:51,29.0361,114.5636,52.68,46,96,1.23
45,Bredasdorp,ZA,2022-10-19 19:32:52,-34.5322,20.0403,62.46,87,100,9.91
46,Havre-Saint-Pierre,CA,2022-10-19 19:32:52,50.2334,-63.5986,52.16,93,100,20.71
47,Busselton,AU,2022-10-19 19:32:52,-33.65,115.3333,57.38,85,93,7.36
48,Mazyr,BY,2022-10-19 19:32:53,52.0495,29.2456,40.01,77,6,12.12
49,Beloha,MG,2022-10-19 19:32:53,-25.1667,45.05,68.72,85,4,15.05
50,Arlit,NE,2022-10-19 19:32:54,18.7369,7.3853,83.97,18,0,12.8
51,Kapaa,US,2022-10-19 19:28:38,22.0752,-159.319,73.38,94,100,20.71
52,Charters Towers,AU,2022-10-19 19:32:54,-20.1,146.2667,72.09,87,33,6.42
53,Vestmannaeyjar,IS,2022-10-19 19:32:55,63.4427,-20.2734,44.62,74,100,8.34
54,Khatanga,RU,2022-10-19 19:32:55,71.9667,102.5,18.72,96,100,8.55
55,Rawson,AR,2022-10-19 19:31:00,-43.3002,-65.1023,77.86,28,50,7.23
56,Codrington,AU,2022-10-19 19:32:56,-38.2667,141.9667,48.2,96,10,7.61
57,Tommot,RU,2022-10-19 19:32:56,58.9564,126.2925,24.57,90,99,10.54
58,Yellowknife,CA,2022-10-19 19:31:00,62.456,-114.3525,43.32,93,75,18.41
59,Tigil,RU,2022-10-19 19:32:56,57.8,158.6667,21.4,93,97,8.52
60,Hithadhoo,MV,2022-10-19 19:32:57,-0.6,73.0833,80.58,76,96,8.32
61,Tasiilaq,GL,2022-10-19 19:32:57,65.6145,-37.6368,33.96,89,100,4.83
