City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Provideniya,RU,64.3833,-173.3,35.71,100,100,11.18,fog
80,Sinnamary,GF,5.3833,-52.95,78.94,84,90,8.05,overcast clouds
81,Chuy,UY,-33.6971,-53.4616,59.56,93,100,5.26,moderate rain
82,Kodiak,US,57.79,-152.4072,49.51,50,40,0.0,scattered clouds
83,Qaanaaq,GL,77.484,-69.3632,-1.53,69,0,10.16,clear sky
84,Naze,JP,28.3667,129.4833,79.72,72,18,19.08,few clouds
85,Busselton,AU,-33.65,115.3333,63.43,58,99,8.55,overcast clouds
86,Vanderhoof,CA,54.0166,-124.0198,43.81,58,100,11.12,overcast clouds
87,Canutama,BR,-6.5339,-64.3831,75.99,93,100,0.96,overcast clouds
88,Nanortalik,GL,60.1432,-45.2371,38.08,62,100,6.35,overcast clouds
89,Taganak,PH,6.0833,118.3,84.34,80,100,2.66,overcast clouds
90,Belmonte,BR,-15.8631,-38.8828,73.56,83,49,6.51,scattered clouds
91,Sao Lourenco Do Sul,BR,-31.3653,-51.9783,63.73,98,100,4.83,light rain
92,North Bend,US,43.4065,-124.2243,60.93,96,100,8.05,mist
93,Hasaki,JP,35.7333,140.8333,76.21,53,0,13.35,clear sky
94,Albany,US,42.6001,-73.9662,42.55,74,100,3.65,overcast clouds
95,Clyde River,CA,70.4692,-68.5914,19.63,79,100,12.66,light snow
96,Caruray,PH,10.3094,119.0128,85.96,69,100,0.47,overcast clouds
97,San Patricio,US,28.017,-97.5169,71.85,57,0,9.73,clear sky
98,Bonfim,BR,3.0833,-59.95,78.28,78,47,5.01,scattered clouds
99,Grand Gaube,MU,-20.0064,57.6608,70.38,83,25,14.38,scattered clouds
100,Torbay,CA,47.6666,-52.7314,62.76,95,100,12.66,light intensity shower rain
101,Saint-Paul,RE,-21.0096,55.2707,75.99,76,11,1.36,few clouds
102,Saint-Francois,FR,46.4154,3.9054,62.04,88,75,8.05,moderate rain
103,Chernyshevskiy,RU,63.0128,112.4714,28.87,79,97,7.27,overcast clouds
104,Lebu,CL,-37.6167,-73.65,48.88,81,96,15.61,overcast clouds
105,Cayenne,GF,4.9333,-52.3333,75.24,94,0,0.0,clear sky
106,Yellowknife,CA,62.456,-114.3525,34.32,93,75,10.36,light rain
107,Mapiripan,CO,2.8892,-72.1256,73.9,94,98,2.59,overcast clouds
108,Qesarya,IL,32.5189,34.9046,71.53,77,25,6.31,scattered clouds
109,Antofagasta,CL,-23.65,-70.4,58.28,78,47,3.24,scattered clouds
110,Tabuk,PH,17.4189,121.4443,75.38,94,100,2.04,moderate rain
111,Boca Do Acre,BR,-8.7522,-67.3978,75.24,90,100,2.68,overcast clouds
112,Mar Del Plata,AR,-38.0023,-57.5575,60.82,92,100,12.66,overcast clouds
113,Buala,SB,-8.145,159.5921,85.03,71,96,6.26,light rain
114,Calabozo,VE,8.9242,-67.4293,79.39,73,82,3.87,broken clouds
115,Nemuro,JP,43.3236,145.575,58.05,61,36,6.58,scattered clouds
116,Martapura,ID,-3.4167,114.85,87.89,70,40,3.44,scattered clouds
117,Shelopugino,RU,51.6514,117.5599,37.69,55,100,3.44,overcast clouds
118,Moron,AR,-34.6534,-58.6198,67.89,90,100,2.89,overcast clouds
119,Hermanus,ZA,-34.4187,19.2345,53.8,87,28,8.03,scattered clouds
120,Tual,ID,-5.6667,132.75,84.15,70,100,4.5,overcast clouds
121,Severo-Kurilsk,RU,50.6789,156.125,43.54,75,98,10.71,overcast clouds
122,Broken Hill,AU,-31.95,141.4333,74.66,50,45,10.94,scattered clouds
123,Mbekenyera,TZ,-10.0,38.9833,63.48,93,100,2.59,overcast clouds
124,Colonial Park,US,40.3006,-76.8097,45.81,73,7,1.01,clear sky
125,Klaksvik,FO,62.2266,-6.589,49.12,82,100,21.45,overcast clouds
126,Jalpatagua,GT,14.1417,-90.0086,69.48,95,86,5.06,overcast clouds
127,Camacha,PT,33.0833,-16.3333,67.42,88,20,3.44,few clouds
128,College,US,64.8569,-147.8028,37.58,88,75,5.75,broken clouds
129,Bethel,US,41.3712,-73.414,56.53,77,0,4.0,clear sky
130,Mogadishu,SO,2.0371,45.3438,77.27,83,24,11.41,few clouds
131,Castro,BR,-24.7911,-50.0119,62.06,95,100,13.85,moderate rain
132,Dawei,MM,14.0833,98.2,84.31,62,83,9.24,broken clouds
